outcode,latitude,longitude
BR6,51.36556246,0.091473282
BR7,51.41467575,0.064433374
BS11,51.49743786,-2.675670037
BS13,51.41205325,-2.612158752
BS14,51.41324336,-2.562662935
BS15,51.45976132,-2.506828638
BS2,51.4600036,-2.58189979
BS20,51.48045693,-2.753253099
BS26,51.27948506,-2.855199869
BS27,51.27210902,-2.771487484
BS32,51.54376926,-2.5587399
BS34,51.52362505,-2.565650798
BS35,51.59750885,-2.548104761
BS37,51.5400978,-2.415343299
BS39,51.32929571,-2.534152639
BS4,51.43555227,-2.563444702
BS41,51.42235546,-2.653893639
BS7,51.48698243,-2.581543758
BS8,51.45749744,-2.621750481
BS80,51.52183072,-2.572532944
BS98,51.45880543,-2.578404286
BS99,51.45457874,-2.580328278
CA10,54.61052614,-2.659572259
CA12,54.60269025,-3.134826848
CA14,54.63473289,-3.538227147
CA17,54.47936412,-2.351213569
CA19,54.38715004,-3.385283603
CA20,54.41025203,-3.462278838
CA22,54.480853,-3.532773776
CA24,54.51539742,-3.543739944
CA27,54.49097263,-3.593376235
CA5,54.85491703,-3.018037009
CA7,54.80775152,-3.238274176
CA8,54.93942545,-2.685359938
CA9,54.8008871,-2.41363504
CA95,54.644676,-3.56645
CB10,52.0294339,0.263795309
CB23,52.2150535,-0.022409601
CB5,52.2124514,0.153729255
CB7,52.36721796,0.318318056
CB9,52.08325017,0.439816668
CF10,51.47410575,-3.175664655
CF11,51.4718587,-3.191750848
CF3,51.52001914,-3.111069181
CF30,51.519636,-3.119571
CF31,51.50858654,-3.577657123
CF36,51.48483425,-3.699772163
CF37,51.60311636,-3.334609813
CF38,51.5609277,-3.333030677
CF39,51.60100382,-3.425771007
CF40,51.62046403,-3.451801762
CF41,51.64749888,-3.48231941
CF42,51.66727998,-3.523652648
CF46,51.66482842,-3.301279638
CF47,51.75147015,-3.375144522
CF48,51.74153369,-3.371322076
CF63,51.41215168,-3.257432638
CF64,51.43355315,-3.190718297
CF72,51.52982606,-3.400305331
CF83,51.58658648,-3.218849615
CF95,51.481197,-3.171048
CH25,53.396989,-3.011914
CH28,53.40045,-3.111954
CH30,53.379073,-3.098455
CH41,53.39422402,-3.032546639
CH43,53.38406384,-3.059622107
CH45,53.42879629,-3.051602096
CH48,53.37087346,-3.169806896
CH5,53.20412576,-3.041449114
CH62,53.33396068,-2.981598608
CH63,53.34443418,-3.01229424
CH64,53.28827337,-3.047763961
CH66,53.27706827,-2.936114667
CH7,53.16983448,-3.133914264
CM0,51.66357755,0.835345699
CM11,51.62366123,0.445073827
CM12,51.62838974,0.414415461
CM14,51.61873612,0.292255723
CM16,51.70014487,0.11977192
CM18,51.75565328,0.105780396
CM19,51.75979532,0.072010227
CM21,51.81225882,0.145715107
CM22,51.86192971,0.223533996
CM24,51.89913877,0.204759692
CM5,51.72072476,0.246476753
CM7,51.89682276,0.538346044
CM77,51.86694132,0.552466589
CM8,51.80537786,0.637364932
CM9,51.74091166,0.700155274
CO10,52.05841223,0.720448411
CO11,51.94218683,1.076812143
CO12,51.93141121,1.253363909
CO15,51.79635864,1.154854513
CO5,51.81371286,0.82114834
CO6,51.9244687,0.788679585
CO7,51.88231613,1.004276428
CO9,51.96965935,0.608976224
CR0,51.37304448,-0.076363691
CR5,51.31147353,-0.141320723
CR7,51.39842126,-0.105855974
CR8,51.33233171,-0.113598013
CR9,51.37467407,-0.093781308
CT12,51.34317676,1.370668878
CT14,51.21659509,1.38570672
CT15,51.1725128,1.282152655
CT17,51.12905285,1.293947339
CT18,51.1154892,1.149370085
CT5,51.35360393,1.034896237
CT7,51.37086761,1.297545753
CT8,51.37992418,1.336913455
CT9,51.38379961,1.389243101
CV10,52.52550865,-1.502493898
CV13,52.61588509,-1.414103392
CV23,52.36764127,-1.2928034
CV31,52.27851923,-1.525271338
CV33,52.25616745,-1.482642475
CV34,52.28392384,-1.582122642
CV5,52.41237274,-1.554964688
CV7,52.44470336,-1.566913863
CV8,52.35151861,-1.544357885
BS1,51.45352412,-2.593324624
BS10,51.50634595,-2.61077785
BS16,51.48592934,-2.510578022
BS21,51.43507325,-2.850051082
BS22,51.36066525,-2.929775129
BS23,51.34329013,-2.971425045
BS24,51.32877679,-2.930708641
BS25,51.31975628,-2.820844087
BS28,51.2306128,-2.81562974
BS29,51.32992896,-2.87323775
BS3,51.43860639,-2.603060419
BS30,51.44530284,-2.472076787
BS31,51.40854291,-2.49192059
BS36,51.52592412,-2.486811221
BS40,51.34661657,-2.691123173
BS48,51.42537728,-2.748423012
BS49,51.38275591,-2.811975812
BS5,51.46204505,-2.551874012
BS6,51.47068782,-2.600068502
